                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.34739,                0.57813,                 1.0589,                0.78772,                0.76621,                0.87333,                0.81685,                 0.4428,                0.54018,                0.95384,             0.00036689,             0.00036689,             0.00036689
                     95,                0.34426,                0.55498,                 1.0556,                0.72442,                0.88125,                0.87556,                0.82243,                0.42616,                0.50134,                0.91558,             0.00035547,             0.00035547,             0.00035547
                     96,                0.32961,                0.55003,                 1.0457,                0.76882,                0.85767,                0.88291,                0.81891,                0.43465,                0.50373,                 0.9197,             0.00034405,             0.00034405,             0.00034405
                     97,                0.34467,                0.56941,                 1.0575,                0.83051,                0.78743,                0.88748,                 0.8249,                0.44259,                0.55548,                0.93375,             0.00033263,             0.00033263,             0.00033263
                     98,                0.33438,                0.54355,                 1.0424,                0.80401,                0.79362,                0.88493,                0.82982,                0.42386,                0.51028,                0.90147,              0.0003212,              0.0003212,              0.0003212
                     99,                0.33394,                0.56871,                  1.052,                0.78829,                0.82916,                0.87902,                  0.819,                0.41584,                0.54401,                0.90986,             0.00030978,             0.00030978,             0.00030978
                    100,                0.33565,                0.55386,                 1.0506,                0.78472,                0.80691,                0.86467,                0.80035,                0.44033,                0.56426,                0.92998,             0.00029836,             0.00029836,             0.00029836
                    101,                0.33082,                0.54142,                   1.05,                0.82831,                0.78092,                0.89409,                0.83461,                 0.4137,                0.50792,                0.87971,             0.00028694,             0.00028694,             0.00028694
                    102,                0.33572,                0.56332,                 1.0509,                0.76764,                0.84368,                0.88082,                0.83037,                0.42359,                0.51221,                0.89401,             0.00027552,             0.00027552,             0.00027552
                    103,                0.33121,                0.55776,                 1.0427,                0.82832,                0.77847,                0.88315,                0.83455,                0.41403,                0.52954,                0.88164,              0.0002641,              0.0002641,              0.0002641
                    104,                 0.3297,                 0.5479,                 1.0465,                0.75473,                 0.8332,                0.88308,                0.82824,                 0.4054,                0.53053,                 0.8804,             0.00025268,             0.00025268,             0.00025268
                    105,                0.33184,                0.53909,                 1.0458,                0.79253,                0.83134,                0.89215,                0.83831,                0.41451,                0.49808,                0.88832,             0.00024126,             0.00024126,             0.00024126
                    106,                0.32455,                0.53161,                 1.0415,                0.83209,                0.81477,                0.89343,                0.83968,                 0.4377,                   0.52,                0.92335,             0.00022984,             0.00022984,             0.00022984
                    107,                0.33607,                0.56065,                 1.0564,                0.79371,                 0.8237,                0.88328,                0.82629,                0.42279,                0.51507,                0.89992,             0.00021842,             0.00021842,             0.00021842
                    108,                0.33358,                0.53751,                 1.0448,                0.81645,                0.82238,                0.87618,                0.82288,                0.42302,                  0.499,                0.90095,               0.000207,               0.000207,               0.000207
                    109,                 0.3241,                0.54525,                 1.0445,                0.83509,                0.81409,                0.88436,                0.83378,                0.41829,                0.50206,                0.89138,             0.00019558,             0.00019558,             0.00019558
                    110,                0.31917,                0.53108,                 1.0356,                 0.8328,                0.78904,                0.89085,                0.83167,                 0.4363,                0.50733,                0.92167,             0.00018416,             0.00018416,             0.00018416
