                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.36309,                0.61585,                  1.069,                 0.7889,                0.85528,                0.90481,                 0.8368,                0.43198,                0.63019,                0.91869,             0.00075854,             0.00075854,             0.00075854
                     63,                0.36317,                0.63282,                 1.0705,                0.77154,                0.76709,                0.88653,                0.82862,                0.43427,                0.62225,                0.91964,             0.00074755,             0.00074755,             0.00074755
                     64,                0.34811,                0.62904,                 1.0573,                0.76598,                 0.8251,                0.86727,                0.80825,                0.44963,                0.60078,                0.93981,             0.00073655,             0.00073655,             0.00073655
                     65,                0.35896,                0.62923,                 1.0678,                0.77858,                0.83623,                0.90147,                0.85122,                0.40678,                0.65803,                0.88569,             0.00072556,             0.00072556,             0.00072556
                     66,                0.36353,                 0.6252,                 1.0636,                0.84103,                0.77245,                0.90266,                 0.8366,                0.45046,                0.62012,                0.95996,             0.00071457,             0.00071457,             0.00071457
                     67,                0.36511,                0.63336,                 1.0718,                0.77614,                0.78608,                0.87868,                0.81292,                0.45821,                 0.6748,                0.96644,             0.00070358,             0.00070358,             0.00070358
                     68,                0.36594,                0.62104,                 1.0584,                 0.7936,                0.76588,                0.88316,                0.82715,                0.43652,                0.60411,                0.94016,             0.00069259,             0.00069259,             0.00069259
                     69,                0.36165,                0.62439,                  1.065,                0.81415,                0.81761,                 0.8996,                0.84528,                0.43548,                0.58701,                0.94143,              0.0006816,              0.0006816,              0.0006816
                     70,                0.34819,                0.60102,                 1.0553,                0.81948,                0.80396,                 0.8742,                0.80987,                 0.4525,                0.62429,                0.96071,             0.00067061,             0.00067061,             0.00067061
                     71,                0.35289,                0.61216,                 1.0582,                  0.832,                0.77975,                0.88051,                0.82224,                0.43101,                0.57356,                0.93222,             0.00065962,             0.00065962,             0.00065962
                     72,                0.34865,                0.60659,                 1.0544,                0.83358,                0.77178,                0.86876,                 0.8155,                0.41544,                0.56321,                0.90501,             0.00064862,             0.00064862,             0.00064862
                     73,                0.34649,                0.60235,                 1.0631,                 0.7344,                0.87413,                 0.8768,                0.81016,                 0.4577,                0.59199,                0.96801,             0.00063763,             0.00063763,             0.00063763
                     74,                0.36044,                0.60616,                 1.0617,                0.76178,                0.78916,                0.87422,                0.80879,                0.42401,                0.57971,                0.94316,             0.00062664,             0.00062664,             0.00062664
                     75,                0.34956,                0.58708,                 1.0543,                0.83921,                0.80648,                0.90645,                0.85884,                0.41501,                0.57344,                0.90583,             0.00061565,             0.00061565,             0.00061565
                     76,                 0.3513,                 0.5906,                 1.0591,                0.80423,                0.79795,                0.85711,                0.80419,                0.41525,                0.57639,                0.89716,             0.00060466,             0.00060466,             0.00060466
                     77,                0.35468,                0.59434,                  1.066,                 0.8107,                0.78635,                 0.8901,                 0.8355,                0.42441,                0.55947,                0.91526,             0.00059367,             0.00059367,             0.00059367
                     78,                0.33871,                0.59606,                 1.0507,                0.83895,                0.80925,                0.90903,                0.86556,                0.40935,                0.57651,                0.89567,             0.00058268,             0.00058268,             0.00058268
                     79,                0.34539,                0.60633,                 1.0541,                0.80513,                 0.7713,                0.86724,                0.81281,                0.42525,                0.60162,                0.92957,             0.00057169,             0.00057169,             0.00057169
                     80,                0.34559,                0.59512,                 1.0508,                0.73886,                0.80296,                0.87014,                0.81316,                0.44798,                0.60242,                0.96377,             0.00056069,             0.00056069,             0.00056069
                     81,                0.34846,                0.58804,                 1.0593,                0.82603,                0.73336,                0.88089,                 0.8148,                0.44873,                0.60291,                0.95594,              0.0005497,              0.0005497,              0.0005497
                     82,                0.35078,                0.58335,                 1.0563,                0.89471,                0.76447,                0.90719,                0.84539,                0.41187,                0.57208,                 0.9103,             0.00053871,             0.00053871,             0.00053871
                     83,                0.35221,                0.59798,                 1.0616,                0.84338,                0.75445,                0.88272,                0.82393,                0.42999,                0.60296,                 0.9293,             0.00052772,             0.00052772,             0.00052772
                     84,                0.34918,                0.58593,                 1.0588,                0.75138,                0.81178,                0.86662,                0.81411,                0.42222,                0.61013,                0.90322,             0.00051673,             0.00051673,             0.00051673
                     85,                0.34052,                0.57669,                 1.0515,                0.82042,                0.77629,                0.88656,                0.83024,                0.39909,                0.55745,                0.88052,             0.00050574,             0.00050574,             0.00050574
                     86,                0.34077,                0.58218,                 1.0499,                0.81374,                0.75784,                0.88847,                0.83893,                0.40451,                0.59851,                0.90206,             0.00049475,             0.00049475,             0.00049475
                     87,                 0.3387,                0.57385,                 1.0553,                0.82707,                 0.7918,                0.87879,                0.83111,                0.39753,                0.55108,                0.87632,             0.00048376,             0.00048376,             0.00048376
                     88,                0.34691,                0.58476,                 1.0593,                0.84521,                0.81307,                0.91208,                0.85397,                0.40542,                0.51723,                0.86949,             0.00047276,             0.00047276,             0.00047276
                     89,                0.33997,                0.58609,                 1.0468,                0.81847,                0.77344,                0.88108,                0.82392,                 0.4059,                0.61097,                0.88803,             0.00046177,             0.00046177,             0.00046177
